Iteration 14000, loss = 0.241, ber = 0.00971
Iteration 15000, loss = 0.237, ber = 0.00966
Iteration 16000, loss = 0.248, ber = 0.01017
Iteration 17000, loss = 0.236, ber = 0.00940
Iteration 18000, loss = 0.248, ber = 0.01018
Iteration 19000, loss = 0.244, ber = 0.00987
Iteration 20000, loss = 0.242, ber = 0.00979
Iteration 21000, loss = 0.240, ber = 0.00969
Iteration 22000, loss = 0.246, ber = 0.01010
Iteration 23000, loss = 0.236, ber = 0.00944
Iteration 24000, loss = 0.241, ber = 0.00964
Iteration 25000, loss = 0.232, ber = 0.00916
Iteration 26000, loss = 0.241, ber = 0.00977
Iteration 27000, loss = 0.236, ber = 0.00948
Iteration 28000, loss = 0.246, ber = 0.01007
Iteration 29000, loss = 0.240, ber = 0.00987
Iteration 30000, loss = 0.233, ber = 0.00927
Iteration 31000, loss = 0.249, ber = 0.01000
Iteration 32000, loss = 0.237, ber = 0.00960
Iteration 33000, loss = 0.246, ber = 0.00982
Iteration 34000, loss = 0.241, ber = 0.00989
Iteration 35000, loss = 0.241, ber = 0.00980
Iteration 36000, loss = 0.239, ber = 0.00954
Iteration 37000, loss = 0.240, ber = 0.00961
Iteration 38000, loss = 0.247, ber = 0.01002
Iteration 39000, loss = 0.239, ber = 0.00943
Iteration 40000, loss = 0.234, ber = 0.00938
Iteration 41000, loss = 0.241, ber = 0.00973
Iteration 42000, loss = 0.244, ber = 0.00994
Iteration 43000, loss = 0.240, ber = 0.00962
Iteration 44000, loss = 0.236, ber = 0.00946
Iteration 45000, loss = 0.246, ber = 0.00995
Iteration 46000, loss = 0.239, ber = 0.00969
Iteration 47000, loss = 0.242, ber = 0.00983
Iteration 48000, loss = 0.238, ber = 0.00971
Iteration 49000, loss = 0.237, ber = 0.00957
Iteration 50000, loss = 0.236, ber = 0.00950
Iteration 51000, loss = 0.246, ber = 0.00988
Iteration 52000, loss = 0.239, ber = 0.00958
Iteration 53000, loss = 0.241, ber = 0.00972
Iteration 54000, loss = 0.239, ber = 0.00972
Iteration 55000, loss = 0.240, ber = 0.00957
Iteration 56000, loss = 0.233, ber = 0.00940
Iteration 57000, loss = 0.245, ber = 0.01004
Iteration 58000, loss = 0.249, ber = 0.01015
Iteration 59000, loss = 0.234, ber = 0.00937
Iteration 60000, loss = 0.242, ber = 0.00971
Iteration 61000, loss = 0.233, ber = 0.00937
Iteration 62000, loss = 0.237, ber = 0.00953
Iteration 63000, loss = 0.237, ber = 0.00957
Iteration 64000, loss = 0.236, ber = 0.00942
Iteration 65000, loss = 0.245, ber = 0.01004
Iteration 66000, loss = 0.229, ber = 0.00905
Iteration 67000, loss = 0.239, ber = 0.00949
Iteration 68000, loss = 0.242, ber = 0.00984
Iteration 69000, loss = 0.245, ber = 0.01007
Iteration 70000, loss = 0.239, ber = 0.00965
Iteration 71000, loss = 0.234, ber = 0.00935
Iteration 72000, loss = 0.241, ber = 0.00976
Iteration 73000, loss = 0.241, ber = 0.00966
Iteration 74000, loss = 0.232, ber = 0.00922
Iteration 75000, loss = 0.236, ber = 0.00943
Iteration 76000, loss = 0.238, ber = 0.00957
Iteration 77000, loss = 0.234, ber = 0.00935
